type,name,median_tau_score,description,ts_pc,belongs_to,id,pc,target
CP,tubaic-acid,74.54,"mitochondrial complex I inhibitor, NADH-ubiquinone oxidoreductase (Complex I) inhibitor","1.72, 0.74",,BRD-K96362535,"0.00, 0.00",MT-ND1
CP,oxaprozin,74.43,cyclooxygenase inhibitor,"0.91, 0.16",,BRD-K25394294,"10.00, 0.00","PTGS1, PTGS2"
CP,L-2167,-78.15,PPAR receptor agonist,"1.02, 0.34",,BRD-K98372770,"0.00, 0.00",PPARD
CP,LY-2183240,-78.24,"FAAH inhibitor, FAAH reuptake inhibitor","1.76, 0.63",,BRD-K37865504,"0.00, 0.00",FAAH
CP,teicoplanin,-78.31,bacterial cell wall synthesis inhibitor,"1.33, 0.49",,BRD-U97083655,"10.00, 10.00",
CP,PD-184352,-78.51,"MEK inhibitor, MAP kinase inhibitor","1.43, 0.49",MEK inhibitor,BRD-K05104363,"0.00, 0.00","MAP2K1, MAP2K2, MAP3K1, MAP3K2"
CP,GR-144053,-78.83,integrin antagonist,"1.01, 0.33",,BRD-K12120659,"0.00, 0.00","ITGB3, ITGA2B"
CP,phenytoin,-78.93,sodium channel blocker,"1.84, 0.61",,BRD-K55930204,"0.00, 0.00","ABCB1, CYP2B6, CYP2C19, CYP3A4, SCN1A, SCN2A, SCN5A"
CP,nelfinavir,-79.04,"HIV protease inhibitor, proteasome inhibitor","1.32, 0.41",HIV protease inhibitor,BRD-K60460488,"10.00, 0.00","CYP2C19, CYP3A5, CYP3A7"
CP,xylazine,-79.13,adrenergic receptor agonist,"1.05, 0.38",,BRD-K21565985,"0.00, 0.00","ADRA2A, ADRA2B, ADRA2C"
CP,physostigmine,-79.39,"acetylcholinesterase inhibitor, cholinesterase inhibitor","0.83, 0.26",,BRD-A37052580,"0.00, 0.00","ACHE, BCHE"
CP,BRD-K34437622,-79.45,thymidylate synthase inhibitor,"1.73, 0.50",,BRD-K34437622,"0.00, 0.00",TYMS
CP,spiroxatrine,74.29,serotonin receptor antagonist,"1.03, 0.24",,BRD-A72483914,"33.33, 11.11","HTR1A, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR2B"
CP,vincamine,74.11,adrenergic receptor antagonist,"0.98, 0.38",,BRD-K40902647,"10.00, 10.00","CHRM1, CHRM2, CHRM3, CHRM4"
CP,cytochalasin-b,73.99,"microtubule inhibitor, phagocytosis inhibitor","2.51, 0.58",,BRD-K26664453,"10.00, 10.00",ACTB
CP,epothilone,73.75,"inhibition of microtubulefunction, microtubule stabilizing agent, microtubule stimulant, tubulin inhibitor","1.24, 0.32",Tubulin inhibitor,BRD-K48935217,"0.00, 0.00","TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA4A, TUBA8, TUBB, TUBB1, TUBB3, TUBB4A, TUBB4B"
CP,vemurafenib,73.71,"RAF inhibitor, protein kinase inhibitor","1.58, 0.60",RAF inhibitor,BRD-K56343971,"10.00, 10.00","BRAF, CYP2C19, CYP3A4, CYP3A5, RAF1"
CP,nicotinamide,73.68,"oxidoreductase stimulant, protein synthesis stimulant","2.00, 0.57",,BRD-K28912512,"0.00, 0.00","PARP1, AOX1, BST1, CYP2E1, LDHA, SIRT5"
CP,nor-binaltorphimine,73.66,opioid receptor antagonist,"0.80, 0.19",,BRD-A11135865,"0.00, 0.00",
CP,cosmosiin,73.35,cytochrome P450 inhibitor,"1.77, 0.51",,BRD-K13642330,"0.00, 0.00",
CP,methocarbamol,73.24,muscle relaxant,"1.09, 0.24",,BRD-A31521121,"0.00, 0.00",CA1
CP,levcromakalim,73.06,"potassium channel activator, potassium channel agonist","0.81, 0.26",Potassium channel activator,BRD-K24526313,"10.00, 0.00","KCNJ8, ABCC9, KCNJ5"
CP,isoliquiritigenin,-77.32,"guanylate cyclase activator, aldose reductase inhibitor, glutamate receptor antagonist, histamine receptor antagonist, SIRT activator","1.63, 0.59",,BRD-K33583600,"0.00, 0.00","AKR1B1, HRH2, SIRT1"
CP,nicotine,-77.33,acetylcholine receptor agonist,"0.69, 0.14",,BRD-K05395900,"0.00, 0.00","CHRNA10, CHRNA9, AOX1, CHAT, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB2, CHRNB3, CHRNB4, CYP19A1, CYP2B6, TBXAS1, TRPA1"
CP,razoxane,-77.34,"topoisomerase inhibitor, chelating agent","0.93, 0.33",,BRD-K07265709,"0.00, 0.00","TOP2A, TOP2B"
CP,vidarabine,-77.37,"adenylyl cyclase inhibitor, DNA directed DNA polymerase inhibitor, viral DNA synthesis inhibitor","0.84, 0.34",Ribonucleotide reductase inhibitor,BRD-K72093121,"0.00, 0.00",ADCY5
CP,catechin,-77.46,"beta secretase inhibitor, fatty acid synthase inhibitor, free radical scavenger, immunostimulant, LDL antioxidants, quorum sensing signaling modulator, reducing agent, sodium channel blocker","1.22, 0.33",,BRD-A61899133,"0.00, 0.00","BACE1, CA1, CA12, CA14, CA2, CA4, CA6, CA9, FASN, PTGS1, SCN5A"
CP,terfenadine,-77.59,histamine receptor antagonist,"1.94, 0.60",,BRD-A06352418,"0.00, 0.00","HRH1, KCNH2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, KCNH1"
CP,BRD-K97274161,-77.66,"beta-catenin inhibitor, opioid receptor antagonist","1.31, 0.45",,BRD-K97274161,"0.00, 0.00",OPRK1
CP,etomoxir,-77.8,"carnitine palmitoyltransferase inhibitor, carnitine O-palmitoyltransferase inhibitor, fatty acid oxidation inhibitor","0.90, 0.38",,BRD-K77625572,"0.00, 0.00","CPT1A, CPT1B"
CP,skatole,-78,thrombin inhibitor,"0.92, 0.19",,BRD-K73824630,"0.00, 0.00",F2
CP,SDM25N,-78.11,opioid receptor antagonist,"0.41, 0.07",,BRD-A75769826,"0.00, 0.00",OPRD1
CP,vinblastine,72.97,"microtubule formation inhibitor, tubulin inhibitor, tubulin polymerisation inhibitor","1.43, 0.39",Tubulin inhibitor,BRD-A55594068,"0.00, 0.00","TUBB, JUN, TUBA1A, TUBD1, TUBE1, TUBG1"
CP,BRD-K14236372,72.79,lysophospholipid receptor agonist,"1.22, 0.28",,BRD-K14236372,"0.00, 0.00",S1PR4
CP,olopatadine,72.78,"histamine receptor antagonist, histamine blocker, mediator release inhibitor","1.86, 0.53",,BRD-K67637637,"0.00, 0.00","HRH1, S100A1, S100A12, S100A13, S100A2, S100B"
CP,imatinib,72.46,"PDGFR tyrosine kinase receptor inhibitor, Bcr-Abl kinase inhibitor, KIT inhibitor, Abl kinase inhibitor, apoptosis stimulant, breast cancer resistance protein inhibitor, colony stimulating factor receptor inhibitor","1.03, 0.19",,BRD-K92723993,"10.00, 10.00","ABL1, KIT, PDGFRA, BCR, CSF1R, PDGFRB, ABCG2, CYP2C19, CYP2C8, CYP3A5, DDR1, NTRK1, RET"
CP,PI-828,72.46,PI3K inhibitor,"1.73, 0.70",PI3K inhibitor,BRD-K97365803,"30.00, 10.00",
CP,etodolac,72.38,"cyclooxygenase inhibitor, TRPV agonist","2.77, 0.81",,BRD-A16998493,"0.00, 0.00","PTGS2, PTGS1, RXRA, TRPV1"
CP,WAY-213613,72.12,glutamate transporter inhibitor,"0.76, 0.27",,BRD-A20968261,"20.00, 0.00",SLC1A2
CP,Merck60,71.91,HDAC inhibitor,"0.11, 0.02",,BRD-K04466929,"40.00, 20.00","HDAC1, HDAC2"
CP,AZD-6482,71.88,PI3K inhibitor,"1.38, 0.60",PI3K inhibitor,BRD-K58772419,"0.00, 0.00","PIK3CD, PIK3CG, PIK3CA, PIK3CB"
CP,CDK2-5-inhibitor,71.76,inhibitor of CDK2/cyclin E and CDK5/p25,"1.09, 0.31",,BRD-K71860425,"20.00, 10.00","CDK2, CDK5"
CP,naftifine,-75.33,"squalene epoxidase inhibitor, steroid sulfatase inhibitor","0.83, 0.30",,BRD-K74141488,"0.00, 0.00",SQLE
CP,memantine,-75.39,"glutamate receptor antagonist, glutamate release inhibitor","1.36, 0.72",,BRD-A79803969,"0.00, 0.00","GRIN1, CHRFAM7A, CYP2E1, DRD2, GRIN2A, GRIN2B, GRIN3A, HTR3A"
CP,lacidipine,-75.55,"calcium channel blocker, L-type calcium channel blocker","0.85, 0.20",Calcium channel blocker,BRD-A52282606,"12.50, 12.50",CACNA1C
CP,parthenolide,-75.6,"NFkB pathway inhibitor, adiponectin receptor agonist","2.27, 0.65",NFkB pathway inhibitor,BRD-K98548675,"0.00, 0.00","ADIPOR2, IKBKB, RELA"
CP,tosyl-phenylalanyl-chloromethyl-ketone,-76.19,"chymotrypsin inhibitor, serine protease inhibitor","1.01, 0.35",,BRD-K50311478,"10.00, 10.00",
CP,GW-5074,-76.25,"RAF inhibitor, leucine rich repeat kinase inhibitor","0.77, 0.22",RAF inhibitor,BRD-K39520573,"0.00, 0.00","LRRK1, LRRK2, NTRK1, RAF1"
CP,molindone,-76.8,dopamine receptor antagonist,"1.01, 0.30",,BRD-A65280694,"0.00, 0.00","DRD2, HTR2A, CHRM1, DRD5, HRH1, HTR1A"
CP,15-delta-prostaglandin-j2,-77.03,"PPAR receptor agonist, FXR antagonist","1.39, 0.63",PPAR receptor agonist,BRD-K05396879,"0.00, 0.00","PPARG, NR1H4"
CP,bromocriptine,-77.16,"dopamine receptor agonist, dopamine receptor antagonist, prolactin secretion inhibitor","1.01, 0.19",,BRD-A69960130,"0.00, 0.00","DRD2, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, ADRA1A, ADRA1B, ADRA1D, HTR6, HTR7, PRL"
CP,tamoxifen,-77.31,"estrogen receptor antagonist, selective estrogen receptor modulator (SERM), estrogen receptor agonist, estrogen receptor modulator, PKC inhibitor","0.38, 0.17",,BRD-K93754473,"0.00, 0.00","ESR1, ESR2, CYP3A5, EBP, GPER1, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCI, PRKCQ, PRKCZ"
CP,sarmentogenin,71.74,ATPase inhibitor,"2.40, 0.72",ATPase inhibitor,BRD-A89434049,"0.00, 0.00",ATP1A1
CP,methylergometrine,71.63,"dopamine receptor antagonist, partial serotonin receptor agonist","0.91, 0.26",,BRD-K34685430,"11.11, 0.00","DRD1, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C"
CP,BRD-K64314806,71.44,lipoxygenase inhibitor,"1.25, 0.23",,BRD-K64314806,"20.00, 10.00",
CP,z-leu3-VS,71.17,"PGPH inhibitor, proteasome inhibitor","3.00, 0.82",Proteasome inhibitor,BRD-K15935639,"20.00, 0.00",
CP,guanabenz,71.13,adrenergic receptor agonist,"0.78, 0.25",,BRD-K56800335,"0.00, 0.00","ADRA2A, ADRA2B, ADRA2C"
CP,ethinyl-estradiol,71.12,"DNA directed DNA polymerase stimunlant, estrogen receptor agonist, estrogenic component in oral contraceptives","1.19, 0.38",Estrogen receptor agonist,BRD-A02367930,"22.22, 0.00","CYP2C8, ESR1, ESR2, NR1I2"
CP,guanabenz,71.1,adrenergic receptor agonist,"0.53, 0.08",,BRD-K62736196,"0.00, 0.00","ADRA2A, ADRA2B, ADRA2C"
CP,prostaglandin-e1,71.05,"prostanoid receptor agonist, prostanoid receptor antagonist","1.02, 0.34",,BRD-K52459643,"0.00, 0.00","PTGER1, PTGER2, CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGER4, PTGIR"
CP,BRD-K98948170,71.03,kelch-like ECH-associated protein ligand,"0.55, 0.43",,BRD-K98948170,"33.33, 33.33",KEAP1
CP,CITCO,70.77,constitutive androstane receptor (CAR) agonist,"1.18, 0.35",,BRD-K53263234,"11.11, 0.00",NR1I3
CP,enalaprilat,-74.65,angiotensin converting enzyme inhibitor,"1.80, 0.55",,BRD-K99447003,"0.00, 0.00",ACE
CP,tripelennamine,-74.69,histamine receptor antagonist,"0.50, 0.18",,BRD-K57033106,"0.00, 0.00",HRH1
CP,BRD-K77690805,-74.69,pyruvate kinase isozyme activator,"0.74, 0.14",,BRD-K77690805,"10.00, 0.00",PKM
CP,dovitinib,-74.73,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor, angiogenesis inhibitor, FGFR antagonist, KIT inhibitor, VEGFR antagonist","0.99, 0.19","EGFR inhibitor, FGFR inhibitor, VEGFR inhibitor",BRD-K85402309,"0.00, 0.00","EGFR, FGFR3, PDGFRB, CSF1R, FGFR1, FGFR2, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA"
CP,bucladesine,-74.74,"adenosine receptor agonist, cAMP stimulant, vasodilator","1.11, 0.24",,BRD-A15070535,"22.22, 22.22",PRKACA
CP,testosterone,-74.75,"androgen receptor (AR) agonist, androgen receptor agonist, testosterone receptor agonist","0.67, 0.25",,BRD-K90553655,"0.00, 0.00","AR, CYP19A1, CYP2C19, CYP2C8, CYP3A5"
CP,IB-MECA,-74.76,"adenosine receptor agonist, granulocyte colony stimulating factor agonist","0.89, 0.24",Adenosine receptor agonist,BRD-A48809242,"11.11, 0.00","ADORA3, ADORA1, ADORA2A, ADORA2B"
CP,QX-222,-74.87,sodium channel blocker,"1.09, 0.33",,BRD-K40782193,"0.00, 0.00",
CP,spectinomycin,-74.91,30S ribosomal subunit inhibitor,"0.88, 0.34",Bacterial 30S ribosomal subunit inhibitor,BRD-K11905747,"0.00, 0.00",
CP,BRD-K88742110,-75.22,"HDAC inhibitor, interleukin synthesis inhibitor","0.26, 0.17",,BRD-K88742110,"0.00, 0.00","HDAC8, IL1B"
CP,dapsone,70.7,"dihydrofolate reductase inhibitor, dihydropteroate synthase inhibitor, FOLP inhibitor","1.40, 0.41",Dihydrofolate reductase inhibitor,BRD-K62363391,"0.00, 0.00",DHFR
CP,labetalol,70.64,adrenergic receptor antagonist,"1.38, 0.41",,BRD-K04389336,"0.00, 0.00","ADRB1, ADRB2, ADRA1A, ADRA1D, ADRA1B"
CP,dihydro-7-desacetyldeoxygedunin,70.63,HSP90 inhibitor,"1.03, 0.27",,BRD-A47144777,"11.11, 0.00",HSP90AA1
CP,retinol,70.63,RAR receptor binder,"1.06, 0.43",,BRD-K13927029,"20.00, 10.00","ALDH1A1, ALDH1A2, ALDH1A3, DHRS3, DHRS4, LRAT, NR2C2, RBP1, RBP3, RDH11, RDH12, RDH13, RDH14, RDH5, RDH8, RETSAT, RHO, RLBP1, RXRA, RXRB, RXRG"
CP,sulforaphane,70.49,"anticancer agent, aryl hydrocarbon receptor antagonist, nuclear factor erythroid derived, like (NRF2) activator","0.83, 0.22",,BRD-A58955223,"20.00, 10.00",NFE2L2
CP,ZM-306416,70.43,"Src and Abl inhibitor, vascular endothelial growth factor receptor 1 (VEGFR1) inhibitor","0.83, 0.25","SRC inhibitor, VEGFR inhibitor",BRD-K41337261,"0.00, 0.00","FLT1, KDR, EGFR, FLT4"
CP,SB-239063,70.39,"p38 MAPK inhibitor, interleukin inhibitor, tumor necrosis factor production inhibitor","1.15, 0.27",,BRD-K98143437,"20.00, 0.00","MAPK11, MAPK14, PTGS2, TNF"
CP,CAM-9-026,70.33,ADAM10 inhibitor,"1.27, 0.26",,BRD-K91442916,"11.11, 11.11",
CP,ryanodine,70.33,calcium channel inhibitor,"1.49, 0.45",,BRD-K69556541,"0.00, 0.00","RYR1, RYR2, RYR3"
CP,megestrol,70.26,"progesterone receptor agonist, DNA inhibitor, HegG2 inhibitor","1.00, 0.32",,BRD-K19507340,"0.00, 0.00",PGR
CP,clomifene,-73.59,"estrogen receptor antagonist, estrogen receptor modulator, selective estrogen receptor modulator (SERM), testosterone receptor agonist","0.81, 0.19",Estrogen receptor antagonist,BRD-K29950728,"0.00, 0.00","ESR1, AR"
CP,losartan,-73.74,angiotensin receptor antagonist,"0.31, 0.02",,BRD-K76205745,"0.00, 0.00",AGTR1
CP,geranylgeraniol,-73.89,farnesyltransferase inhibitor,"1.39, 0.45",,BRD-K95402279,"0.00, 0.00",
CP,eicosatetraynoic-acid,-74.06,"cyclooxygenase inhibitor, lipoxygenase inhibitor","0.90, 0.25",,BRD-K06080977,"10.00, 10.00","ALOX12, PPARA, PPARG, PTGS1"
CP,caffeic-acid,-74.13,"lipoxygenase inhibitor, HIV integrase inhibitor, NFkB pathway inhibitor, nitric oxide production inhibitor, PPAR receptor modulator, tumor necrosis factor production inhibitor","1.24, 0.43",,BRD-K84709232,"0.00, 0.00","ALOX5, MIF, RELA, TNF"
CP,etilefrine,-74.16,adrenergic receptor agonist,"0.82, 0.22",,BRD-A09925278,"0.00, 0.00","ADRA1A, ADRB1"
CP,linezolid,-74.21,"50S ribosomal subunit inhibitor, protein synthesis inhibitor, monoamine oxidase inhibitor","1.05, 0.20",,BRD-K66876909,"0.00, 0.00",MAOA
CP,cediranib,-74.23,"VEGFR inhibitor, KIT inhibitor, angiogenesis inhibitor, VEGFR antagonist","1.56, 0.56","PDGFR/KIT inhibitor, VEGFR inhibitor",BRD-K86930074,"0.00, 0.00","KDR, FLT1, FLT4, KIT, PDGFRB, CSF1R, FLT3, PDGFRA"
CP,BRD-K56658166,-74.31,"N-type calcium channel blocker, Sodium Channel  Blockers","0.53, 0.09",,BRD-K56658166,"0.00, 0.00",CACNA1B
CP,androstenedione,-74.5,cytochrome P450 inhibitor,"1.32, 0.38",,BRD-K32610195,"10.00, 0.00","AKR1C3, HSD17B1, HSD3B1"
CP,bucladesine,70.22,"adenosine receptor agonist, cAMP stimulant, vasodilator","1.49, 0.35",,BRD-A15931911,"20.00, 20.00",PRKACA
CP,cefotiam,70.2,cell wall synthesis inhibitor,"1.11, 0.27",,BRD-K02275692,"0.00, 0.00",
CP,ribavirin,70.18,"antiviral guanosine ribonucleoside analog, IMPDH inhibitor, inosine monophosphate dehydrogenase inhibitor","1.03, 0.22",,BRD-A96255180,"10.00, 10.00","IMPDH1, ADK, ENPP1, IMPDH2, NT5C2"
CP,diphenyleneiodonium,70.02,"nitric oxide synthase inhibitor, aldehyde dehydrogenase inhibitor, cytochrome P450 inhibitor, NADPH oxidase inhibitor, xanthine oxidase inhibitor","0.86, 0.14",,BRD-K65814004,"10.00, 10.00","ALDH1A2, ALDH2, ALDH5A1, ALDH7A1, NOX3, XDH"
CP,nitrofural,69.96,POXB inhibitor,"1.19, 0.31",,BRD-K79092138,"0.00, 0.00",
CP,AZD-8055,69.92,mTOR inhibitor,"2.34, 0.75",MTOR inhibitor,BRD-K69932463,"0.00, 0.00",MTOR
CP,MLN-2238,69.92,proteasome inhibitor,"2.44, 0.85",Proteasome inhibitor,BRD-K78659596,"0.00, 0.00",PSMB1
CP,baccatin-III,69.83,paclitaxel precursor,"1.48, 0.32",,BRD-A84189516,"0.00, 0.00",
CP,dubinidine,69.79,anticonvulsant that reduces motor activity,"2.11, 0.59",,BRD-A99571536,"22.22, 11.11",
CP,peucedanin,69.66,"apoptosis inducer, antileukemic","1.21, 0.50",,BRD-K72034655,"0.00, 0.00",
CP,AS-703026,-72.64,MEK inhibitor,"1.41, 0.55",MEK inhibitor,BRD-K89014967,"0.00, 0.00","MAP2K1, MAP2K2"
CP,piceid,-72.8,"glucosidase inhibitor, ICAM1 expression inhibitor, VCAM expression inhibitor, xanthine oxidase inhibitor","0.99, 0.28",,BRD-K43236057,"0.00, 0.00","GAA, XDH"
CP,benazepril,-72.81,angiotensin converting enzyme inhibitor,"1.23, 0.41",,BRD-K49807096,"0.00, 0.00",ACE
CP,dibenzoylmethane,-72.82,tumorigenesis inhibitor,"0.65, 0.11",,BRD-K01555864,"0.00, 0.00",
CP,quinine,-72.83,"cytochrome P450 inhibitor, hemozoin biocrystallization inhibitor, P glycoprotein inhibitor","2.16, 0.49",,BRD-U94846492,"0.00, 0.00","KCNN4, ABCB1, CYP2D6, GP9, KCNB2, SLC29A4"
CP,quercetagetin,-72.95,Pim kinase inhibitor,"0.70, 0.18",,BRD-K95885906,"10.00, 0.00",PIM1
CP,carmofur,-73.04,"thymidylate synthase inhibitor, pyrimidine antagonist","1.19, 0.41",Thymidylate synthase inhibitor,BRD-K11630072,"0.00, 0.00",TYMS
CP,benzohydroxamic-acid,-73.2,"metal chelator, anti bacterial","0.43, 0.34",,BRD-K59773493,"0.00, 0.00",
CP,cilnidipine,-73.45,"calcium channel blocker, L-type calcium channel blocker, N-type calcium channel blocker","0.75, 0.28",,BRD-A07875874,"0.00, 0.00","CACNA1B, CACNA1C"
CP,mirin,-73.49,inhibitor of MRE11A exonuclease activity,"1.16, 0.47",,BRD-K55420858,"10.00, 0.00",MRE11A
CP,triamcinolone,69.61,"antiinflammatory agent, corticosteroid agonist, corticosteroid binding globulin binder, corticosteroid hormone receptor agonist, cytochrome P450 inhibitor, glucocorticoid receptor agonist, immunosuppressant, immunosuppressive agent","1.36, 0.57",,BRD-A30717181,"0.00, 0.00","NR3C1, CYP3A5, CYP3A7, SERPINA6"
CP,levocabastine,69.61,histamine receptor antagonist,"0.60, 0.17",,BRD-K33453211,"10.00, 0.00","HRH1, NTSR2"
CP,oxprenolol,69.38,adrenergic receptor antagonist,"0.88, 0.22",,BRD-A43671941,"11.11, 11.11","ADRB1, ADRB2"
CP,SA-792574,69.37,"microtubule inhibitor, tubulin inhibitor","0.97, 0.43",Tubulin inhibitor,BRD-K26997899,"10.00, 0.00",TUBB
CP,aminogenistein,69.24,"PKC inhibitor, src inhibitor","1.01, 0.20",,BRD-K04976539,"20.00, 10.00",LCK
CP,crizotinib,69.2,"ALK tyrosine kinase receptor inhibitor, c-Met inhibitor, hepatocyte growth factor receptor inhibitor, tyrosine kinase inhibitor","0.97, 0.19",,BRD-K78431006,"0.00, 0.00","ALK, MET, CYP2B6, CYP3A5, MST1R, ROS1"
CP,deguelin,69.15,"NADH-ubiquinone oxidoreductase (Complex I) inhibitor, AKT inhibitor, cyclooxygenase inhibitor, NFkB pathway inhibitor, phorbol ester-induced ornithine decarboxylase (ODC) activity suppressor, PI3K inhibitor","1.01, 0.14",,BRD-K61401890,"0.00, 0.00","AKT1, PTGS2"
CP,phenothiazine,69.14,dopamine receptor antagonist,"0.60, 0.10",,BRD-K59597909,"20.00, 10.00",
CP,tyrphostin-AG-1288,69.07,"catechol O methyltransferase inhibitor, tumor necrosis factor inhibitor","1.44, 0.39",,BRD-K08115555,"10.00, 0.00",COMT
CP,etacrynic-acid,68.98,"not applicable, sodium/potassium/chloride transporter inhibitor","0.82, 0.19",,BRD-K63630713,"0.00, 0.00","SLC12A1, ATP1A1, SLC12A2"
CP,naloxone,-71.89,opioid receptor antagonist,"0.89, 0.30",,BRD-A70461345,"0.00, 0.00","OPRM1, OPRK1, OPRD1, CREB1, ESR1, TLR4"
CP,caffeine,-71.92,"adenosine receptor antagonist, ATM kinase inhibitor, ATR kinase inhibitor","0.43, 0.13",,BRD-K02404261,"10.00, 0.00","ADORA1, ADORA2A, ADORA2B, ATM, ITPR1, RYR1, ADORA3, ATR, ITPR2, ITPR3, PDE10A, PDE11A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, PIK3CA, PIK3CB, PIK3CD, PRKDC, RYR2, RYR3"
CP,SANT-1,-72.13,smoothened receptor antagonist,"0.78, 0.17",,BRD-K83637872,"0.00, 0.00","DHH, IHH, PTCH1, SMO"
CP,aminoglutethimide,-72.14,"antiglucocorticoid, aromatase inhibitor, corticosteroid antagonist, steroid sulfatase inhibitor","0.45, 0.10",,BRD-A25234499,"0.00, 0.00","CYP19A1, CYP11A1, NR3C1"
CP,VU-0365114-2,-72.27,"acetylcholine receptor allosteric modulator, M5 modulator","1.65, 0.58",,BRD-K37456065,"0.00, 0.00",CHRM5
CP,BRD-K61463582,-72.47,aryl hydrocarbon receptor agonist,"1.20, 0.42",,BRD-K61463582,"0.00, 0.00","AHR, CYP1A2"
CP,triprolidine,-72.47,histamine receptor antagonist,"1.49, 0.60",,BRD-K11742128,"11.11, 0.00",HRH1
CP,5-nonyloxytryptamine,-72.55,serotonin receptor agonist,"1.58, 0.38",,BRD-K08219523,"0.00, 0.00","HTR1B, HTR1D"
CP,BRD-A93048969,-72.59,acetylcholine receptor antagonist,"1.01, 0.28",,BRD-A93048969,"0.00, 0.00","CHRM2, CHRM1, CHRM3, CHRM4, CHRM5, SI"
CP,fexaramine,-72.63,FXR agonist,"1.27, 0.36",,BRD-K34170797,"0.00, 0.00",NR1H4
CP,genistein,68.82,"tyrosine kinase inhibitor, angiogenesis inhibitor, CFTR channel activator, EGFR inhibitor, estrogen receptor agonist, histidine kinase inhibitor, immunosuppressant, isoflavone agonist, protein tyrosine kinase inhibitor, reducing agent, topoisomerase inhibitor","1.30, 0.41",,BRD-A36151937,"10.00, 10.00","CFTR, ESR2, EGFR, ESR1, ESRRA, ESRRB, ESRRG, NCOA1, NCOA2, PPARG, PTK2B, TOP2A, TRPC5"
CP,glycopyrrolate,68.77,acetylcholine receptor antagonist,"0.88, 0.26",,BRD-A81233518,"30.00, 0.00","CHRM1, CHRM3, CHRM2, CHRM4, CHRM5"
CP,PNU-282987,68.75,acetylcholine receptor antagonist,"0.78, 0.19",,BRD-K28863208,"20.00, 0.00",CHRNA7
CP,estropipate,68.74,estrogen receptor agonist,"0.74, 0.14",,BRD-K51095933,"22.22, 22.22","ESR1, ESR2"
CP,GW-843682X,68.71,PLK inhibitor,"0.77, 0.28",,BRD-K90382497,"0.00, 0.00","PLK1, PLK3"
CP,SB-206553,68.71,"serotonin receptor antagonist, serotonin receptor partial agonist","1.20, 0.42",,BRD-K36395411,"0.00, 0.00","HTR2B, HTR2C, HTR1A, HTR2A"
CP,APHA-compound-8,68.59,HDAC inhibitor,"1.50, 0.48",HDAC inhibitor,BRD-K74733595,"20.00, 20.00",HDAC8
CP,AM-580,68.56,"RAR agonist, retinoid receptor agonist","0.38, 0.13",Retinoid receptor agonist,BRD-K06854232,"20.00, 10.00",RARA
CP,LY-341495,68.54,glutamate receptor antagonist,"1.00, 0.32",,BRD-K69763916,"30.00, 10.00","GRM2, GRM3"
CP,cephaeline,68.54,protein synthesis inhibitor,"3.33, 0.78",Protein synthesis inhibitor,BRD-K80348542,"0.00, 0.00",RPS2
CP,methotrexate,-71.26,"dihydrofolate reductase inhibitor, disease modifying antirheumatic drug, folate receptor antagonist, immunosuppressant, thymidylate synthase inhibitor","0.97, 0.23",Dihydrofolate reductase inhibitor,BRD-K59456551,"0.00, 0.00","DHFR, AOX1, FOLR1, TYMS"
CP,methyl-angolensate,-71.3,apoptosis inhibitor,"1.50, 0.33",,BRD-A32349859,"0.00, 0.00",HTR2B
CP,mocimycin,-71.32,protein synthesis inhibitor,"0.90, 0.30",,BRD-A73605923,"0.00, 0.00",
CP,toremifene,-71.36,"selective estrogen receptor modulator (SERM), estrogen receptor antagonist","0.51, 0.34",Estrogen receptor antagonist,BRD-K67174588,"11.11, 11.11","ESR1, CYP3A5"
CP,sildenafil,-71.51,phosphodiesterase inhibitor,"0.40, 0.06",,BRD-K50128260,"0.00, 0.00","PDE5A, PDE6G, PDE6H, SLCO1B1, SLCO1B3"
CP,paroxetine,-71.65,"cyclophilin inhibitor, norepinephrine reputake inhibitor, selective serotonin reuptake inhibitor (SSRI), serotonin reuptake inhibitor, serotonin uptake inhibitor","0.93, 0.22",,BRD-K19277754,"0.00, 0.00","SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR2A, SLC6A2"
